fighter_a_name,fighter_b_name,winner_name,fight_date,method,round,event_name
Alexander Hernandez,Olivier Aubin-Mercier,Alexander Hernandez,2018-07-28,Decision - Unanimous,3,UFC Fight Night: Alvarez vs. Poirier 2
Jordan Mein,Alex Morono,Jordan Mein,2018-07-28,Decision - Unanimous,3,UFC Fight Night: Alvarez vs. Poirier 2
Hakeem Dawodu,Austin Arnett,Hakeem Dawodu,2018-07-28,Decision - Unanimous,3,UFC Fight Night: Alvarez vs. Poirier 2
Kajan Johnson,Islam Makhachev,Islam Makhachev,2018-07-28,Submission,1,UFC Fight Night: Alvarez vs. Poirier 2
Gadzhimurad Antigulov,Ion Cutelaba,Ion Cutelaba,2018-07-28,KO/TKO,1,UFC Fight Night: Alvarez vs. Poirier 2
John Makdessi,Ross Pearson,John Makdessi,2018-07-28,Decision - Unanimous,3,UFC Fight Night: Alvarez vs. Poirier 2
Alexis Davis,Katlyn Cerminara,Katlyn Cerminara,2018-07-28,Decision - Unanimous,3,UFC Fight Night: Alvarez vs. Poirier 2
Dustin Ortiz,Matheus Nicolau,Dustin Ortiz,2018-07-28,KO/TKO,1,UFC Fight Night: Alvarez vs. Poirier 2
Randa Markos,Nina Nunes,Nina Nunes,2018-07-28,Decision - Unanimous,3,UFC Fight Night: Alvarez vs. Poirier 2
Devin Powell,Alvaro Herrera Mendoza,Devin Powell,2018-07-28,KO/TKO,1,UFC Fight Night: Alvarez vs. Poirier 2
Junior Dos Santos,Blagoy Ivanov,Junior Dos Santos,2018-07-14,Decision - Unanimous,5,UFC Fight Night: Dos Santos vs. Ivanov
Sage Northcutt,Zak Ottow,Sage Northcutt,2018-07-14,KO/TKO,2,UFC Fight Night: Dos Santos vs. Ivanov
Dennis Bermudez,Ricky Glenn,Ricky Glenn,2018-07-14,Decision - Split,3,UFC Fight Night: Dos Santos vs. Ivanov
Myles Jury,Chad Mendes,Chad Mendes,2018-07-14,KO/TKO,1,UFC Fight Night: Dos Santos vs. Ivanov
Cat Zingano,Marion Reneau,Cat Zingano,2018-07-14,Decision - Unanimous,3,UFC Fight Night: Dos Santos vs. Ivanov
Randy Brown,Niko Price,Niko Price,2018-07-14,KO/TKO,2,UFC Fight Night: Dos Santos vs. Ivanov
Justin Scoggins,Said Nurmagomedov,Said Nurmagomedov,2018-07-14,Decision - Split,3,UFC Fight Night: Dos Santos vs. Ivanov
Eddie Wineland,Alejandro Perez,Alejandro Perez,2018-07-14,Decision - Unanimous,3,UFC Fight Night: Dos Santos vs. Ivanov
Darren Elkins,Alexander Volkanovski,Alexander Volkanovski,2018-07-14,Decision - Unanimous,3,UFC Fight Night: Dos Santos vs. Ivanov
Mark De La Rosa,Elias Garcia,Mark De La Rosa,2018-07-14,Submission,2,UFC Fight Night: Dos Santos vs. Ivanov
Kurt Holobaugh,Raoni Barcelos,Raoni Barcelos,2018-07-14,KO/TKO,3,UFC Fight Night: Dos Santos vs. Ivanov
Liz Carmouche,Jennifer Maia,Liz Carmouche,2018-07-14,Decision - Unanimous,3,UFC Fight Night: Dos Santos vs. Ivanov
Jessica Aguilar,Jodie Esquibel,Jessica Aguilar,2018-07-14,Decision - Unanimous,3,UFC Fight Night: Dos Santos vs. Ivanov
Mauricio Rua,Anthony Smith,Anthony Smith,2018-07-22,KO/TKO,1,UFC Fight Night: Shogun vs. Smith
Glover Teixeira,Corey Anderson,Corey Anderson,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Vitor Miranda,Abu Azaitar,Abu Azaitar,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Danny Roberts,David Zawada,Danny Roberts,2018-07-22,Decision - Split,3,UFC Fight Night: Shogun vs. Smith
Marcin Tybura,Stefan Struve,Marcin Tybura,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Nasrat Haqparast,Marc Diakiese,Nasrat Haqparast,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Khalid Taha,Nad Narimani,Nad Narimani,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Emil Meek,Bartosz Fabinski,Bartosz Fabinski,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Nick Hein,Damir Hadzovic,Damir Hadzovic,2018-07-22,Decision - Split,3,UFC Fight Night: Shogun vs. Smith
Justin Ledet,Aleksandar Rakic,Aleksandar Rakic,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Davey Grant,Manny Bermudez,Manny Bermudez,2018-07-22,Submission,1,UFC Fight Night: Shogun vs. Smith
Jeremy Kimball,Darko Stosic,Darko Stosic,2018-07-22,KO/TKO,1,UFC Fight Night: Shogun vs. Smith
Francis Ngannou,Derrick Lewis,Derrick Lewis,2018-07-07,Decision - Unanimous,3,UFC 226: Miocic vs. Cormier
Stipe Miocic,Daniel Cormier,Daniel Cormier,2018-07-07,KO/TKO,1,UFC 226: Miocic vs. Cormier
Damian Stasiak,Pingyuan Liu,Pingyuan Liu,2018-07-22,Decision - Unanimous,3,UFC Fight Night: Shogun vs. Smith
Michael Chiesa,Anthony Pettis,Anthony Pettis,2018-07-07,Submission,2,UFC 226: Miocic vs. Cormier
Gokhan Saki,Khalil Rountree Jr.,Khalil Rountree Jr.,2018-07-07,KO/TKO,1,UFC 226: Miocic vs. Cormier
Paul Felder,Mike Perry,Mike Perry,2018-07-07,Decision - Split,3,UFC 226: Miocic vs. Cormier
Raphael Assuncao,Rob Font,Raphael Assuncao,2018-07-07,Decision - Unanimous,3,UFC 226: Miocic vs. Cormier
Lando Vannata,Drakkar Klose,Drakkar Klose,2018-07-07,Decision - Unanimous,3,UFC 226: Miocic vs. Cormier
Dan Hooker,Gilbert Burns,Dan Hooker,2018-07-07,KO/TKO,1,UFC 226: Miocic vs. Cormier
Uriah Hall,Paulo Costa,Paulo Costa,2018-07-07,KO/TKO,2,UFC 226: Miocic vs. Cormier
Curtis Millender,Max Griffin,Curtis Millender,2018-07-07,Decision - Unanimous,3,UFC 226: Miocic vs. Cormier
Brad Tavares,Israel Adesanya,Israel Adesanya,2018-07-06,Decision - Unanimous,5,The Ultimate Fighter: Undefeated Finale
Jamie Moyle,Emily Whitmire,Emily Whitmire,2018-07-07,Decision - Unanimous,3,UFC 226: Miocic vs. Cormier
Michael Trizano,Joe Giannetti,Michael Trizano,2018-07-06,Decision - Split,3,The Ultimate Fighter: Undefeated Finale
Alex Caceres,Martin Bravo,Alex Caceres,2018-07-06,Decision - Split,3,The Ultimate Fighter: Undefeated Finale
Jay Cucciniello,Brad Katona,Brad Katona,2018-07-06,Decision - Unanimous,3,The Ultimate Fighter: Undefeated Finale
Montana De La Rosa,Rachael Ostovich,Montana De La Rosa,2018-07-06,Submission,3,The Ultimate Fighter: Undefeated Finale
Roxanne Modafferi,Barb Honchak,Roxanne Modafferi,2018-07-06,KO/TKO,2,The Ultimate Fighter: Undefeated Finale
Alessio Di Chirico,Julian Marquez,Alessio Di Chirico,2018-07-06,Decision - Split,3,The Ultimate Fighter: Undefeated Finale
John Gunther,Allan Zuniga,John Gunther,2018-07-06,Decision - Majority,3,The Ultimate Fighter: Undefeated Finale
Luis Pena,Richie Smullen,Luis Pena,2018-07-06,Submission,1,The Ultimate Fighter: Undefeated Finale
